高管姓名,性别,年龄,股票代码,职位
谭文鋕,男,70,000021,董事长,董事
吕航,男,57,000025,董事长,董事
杨国富,男,58,000023,董事长,董事
郑煜曦,男,56,000019,董事长,董事
陈略,男,48,000018,董事长,董事
孙承铭,男,59,000024,董事长,董事
白景涛,男,53,000022,董事长,董事
陈琳,女,46,000012,董事长,董事
刘声向,男,47,000011,董事长,董事
刘凤喜,男,46,000016,董事局主席,董事
宿南南,女,34,000015,董事长,董事
陈勇,男,48,000014,董事长,董事
朱军,男,55,000045,董事长,董事
厉怒江,男,57,000013,董事长,董事
李中,男,54,000010,董事长,董事
李伟,男,45,000521,董事长,董事
陈德顺,男,55,000520,董事长,董事
陈建华,男,55,000519,董事长,董事
孙国建,男,64,000518,董事长,董事
史今,女,43,000516,董事长,董事
徐平,男,56,000514,董事长,董事
朱保国,男,55,000513,董事长,非执行董事
郭金东,男,53,000545,董事长,董事
管大源,男,55,000559,董事长,非执行董事
高继胜,男,66,000558,董事长,董事
孙忠春,男,54,000572,董事长,董事
王磊,男,35,000571,董事长,董事
史新昆,男,54,000570,董事长,董事
刘淼,男,49,000568,董事长,董事
戴扬,男,49,000567,董事长,董事
刘悉承,男,56,000566,董事长,董事
赵立宝,男,47,000595,董事长,董事
邓小壮,男,42,000594,董事长,董事
李勤,男,41,000609,董事长,董事
唐军,男,59,000608,董事长,董事
董悦,男,46,000607,董事长,董事
彭聪,男,48,000606,董事长,董事
江波,男,45,000605,董事长,董事
马江河,男,53,000603,董事长,董事
田汉,男,51,000615,董事长,董事
袁小平,男,55,000613,董事长,董事
杨军,男,49,000630,董事长,董事
段向东,男,50,000629,董事长,董事
栾汉忠,男,50,000628,代董事长,董事
刘益谦,男,55,000627,董事长,董事
金波,男,50,000626,董事长,董事
张宝林,男,56,000625,董事长,董事
蒋思海,男,52,000656,董事长,董事
刘远清,男,54,000655,董事长,董事
彭志宏,男,47,000673,董事长,董事
俞锋,男,49,000672,董事长,董事
林腾蛟,男,50,000671,董事局主席,董事
方旭升,男,45,000670,代董事长,董事
陈义和,男,55,000669,董事长,董事
王征,男,55,000668,董事长,董事
郑和涌,男,51,000689,董事长,董事
吴光胜,男,39,000687,董事长,董事
于勇,男,55,000709,董事长,董事
俞亚鹏,男,63,000708,董事长,董事
